tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight
CB1-3a	CB1-3a_LP-DIR-T	CB1-3		ht	251.9	42.1	3.0	8.0	0.0	2.6	6.6	943.0	883.0	K		hargrave 2021-11-30 10:43:09	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CB1-3a	CB1-3a_LP-DIR-T	CB1-3		lt	11.5	48.4	3.0	4.0	100.0	41.7	4.1	573.0	273.0	K		hargrave 2021-11-30 10:43:09	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CB1-3a	CB1-3a_LP-DIR-T	CB1-3		ht	270.5	52.3	3.0	8.0	100.0	2.6	6.6	943.0	883.0	K		hargrave 2021-11-30 10:43:09	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CB1-3a	CB1-3a_LP-DIR-T	CB1-3		mt	99.2	51.5	3.0	14.0	-1.0	0.0	1.2	855.0	773.0	K		hargrave 2021-11-30 10:43:09	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		
CB1-3a	CB1-3a_LP-DIR-T	CB1-3		mt	272.7	51.7	3.0	14.0	100.0	0.0	1.2	855.0	773.0	K		hargrave 2021-11-30 10:43:09	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		
CB1-3a	CB1-3a_LP-DIR-T	CB1-3		mt	253.9	42.1	3.0	14.0	0.0	0.0	1.2	855.0	773.0	K		hargrave 2021-11-30 10:43:09	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		
CB1-3a	CB1-3a_LP-DIR-T	CB1-3		lt	173.9	29.1	3.0	4.0	-1.0	41.7	4.1	573.0	273.0	K		hargrave 2021-11-30 10:43:09	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CB1-3a		CB1-3																	This study	LP-NOMAG			
CB1-4a	CB1-4a_LP-DIR-T	CB1-4		mt	253.8	47.7	3.0	14.0	0.0	0.0	1.7	855.0	773.0	K		hargrave 2021-11-30 10:44:35	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		
CB1-4a	CB1-4a_LP-DIR-T	CB1-4		ht	268.7	52.6	3.0	8.0	100.0	4.9	9.9	943.0	883.0	K		hargrave 2021-11-30 10:44:35	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CB1-4a	CB1-4a_LP-DIR-T	CB1-4		mt	276.9	56.7	3.0	14.0	100.0	0.0	1.7	855.0	773.0	K		hargrave 2021-11-30 10:44:35	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		
CB1-4a	CB1-4a_LP-DIR-T	CB1-4		lt	346.9	57.1	3.0	4.0	100.0	25.8	4.1	573.0	273.0	K		hargrave 2021-11-30 10:44:35	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CB1-4a	CB1-4a_LP-DIR-T	CB1-4		ht	250.3	41.9	3.0	8.0	0.0	4.9	9.9	943.0	883.0	K		hargrave 2021-11-30 10:44:35	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CB1-4a	CB1-4a_LP-DIR-T	CB1-4		lt	315.6	70.2	3.0	4.0	0.0	25.8	4.1	573.0	273.0	K		hargrave 2021-11-30 10:44:35	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CB1-4a	CB1-4a_LP-DIR-T	CB1-4		mt	173.2	29.8	3.0	14.0	-1.0	0.0	1.7	855.0	773.0	K		hargrave 2021-11-30 10:44:35	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		
CB1-4a	CB1-4a_LP-DIR-T	CB1-4		ht	175.1	35.8	3.0	8.0	-1.0	4.9	9.9	943.0	883.0	K		hargrave 2021-11-30 10:44:35	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CB1-4a		CB1-4																	This study	LP-NOMAG			
CB1-4a	CB1-4a_LP-DIR-T	CB1-4		lt	161.3	-4.9	3.0	4.0	-1.0	25.8	4.1	573.0	273.0	K		hargrave 2021-11-30 10:44:35	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CB1-5a	CB1-5a_LP-DIR-T	CB1-5		mt	273.6	47.4	1.0	14.0	100.0	0.0	1.1	855.0	773.0	K		hargrave 2021-11-24 10:23:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		
CB1-5a		CB1-5																	This study	LP-NOMAG			
CB1-5a	CB1-5a_LP-DIR-T	CB1-5		mt	109.6	34.6	1.0	14.0	-1.0	0.0	1.1	855.0	773.0	K		hargrave 2021-11-24 10:23:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		
CB1-5a	CB1-5a_LP-DIR-T	CB1-5		mt	257.0	38.5	1.0	14.0	0.0	0.0	1.1	855.0	773.0	K		hargrave 2021-11-24 10:23:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		
CB1-6a	CB1-6a_LP-DIR-T	CB1-6		mt	250.4	44.7	1.0	14.0	0.0	0.0	0.8	855.0	773.0	K		hargrave 2021-11-24 10:24:38	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		
CB1-6a	CB1-6a_LP-DIR-T	CB1-6		mt	270.8	55.2	1.0	14.0	100.0	0.0	0.8	855.0	773.0	K		hargrave 2021-11-24 10:24:38	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		
CB1-6a		CB1-6																	This study	LP-NOMAG			
CB1-6a	CB1-6a_LP-DIR-T	CB1-6		mt	169.4	40.2	1.0	14.0	-1.0	0.0	0.8	855.0	773.0	K		hargrave 2021-11-24 10:24:38	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		
CB1-7a	CB1-7a_LP-DIR-T	CB1-7		mt	184.7	65.7	1.0	14.0	-1.0	0.0	0.9	855.0	773.0	K		hargrave 2021-10-28 16:05:47	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		
CB1-7a	CB1-7a_LP-DIR-T	CB1-7		mt	263.3	45.8	1.0	14.0	100.0	0.0	0.9	855.0	773.0	K		hargrave 2021-10-28 16:05:47	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		
CB1-7a	CB1-7a_LP-DIR-T	CB1-7		mt	249.6	34.3	1.0	14.0	0.0	0.0	0.9	855.0	773.0	K		hargrave 2021-10-28 16:05:47	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		
CB1-7a		CB1-7																	This study	LP-NOMAG			
CB1-8a	CB1-8a_LP-DIR-T	CB1-8		mt	228.6	26.1	2.0	14.0	-1.0	0.0	1.5	855.0	773.0	K		hargrave 2021-10-28 16:07:15	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		
CB1-8a	CB1-8a_LP-DIR-T	CB1-8		mt	269.7	43.9	2.0	14.0	100.0	0.0	1.5	855.0	773.0	K		hargrave 2021-10-28 16:07:15	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		
CB1-8a	CB1-8a_LP-DIR-T	CB1-8		mt	255.5	34.2	2.0	14.0	0.0	0.0	1.5	855.0	773.0	K		hargrave 2021-10-28 16:07:15	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		
CB1-8a	CB1-8a_LP-DIR-T	CB1-8		lt	358.5	23.0	2.0	3.0	100.0	65.5	8.2	473.0	273.0	K		hargrave 2021-10-28 16:07:15	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CB1-8a		CB1-8																	This study	LP-NOMAG			
CB1-8a	CB1-8a_LP-DIR-T	CB1-8		lt	325.0	51.9	2.0	3.0	-1.0	65.5	8.2	473.0	273.0	K		hargrave 2021-10-28 16:07:15	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CB1-8a	CB1-8a_LP-DIR-T	CB1-8		lt	353.1	40.8	2.0	3.0	0.0	65.5	8.2	473.0	273.0	K		hargrave 2021-10-28 16:07:15	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CB10-1a	CB10-1a_LP-DIR-T	CB10-1		lt	340.4	79.6	2.0	3.0	0.0	26.0	1.8	473.0	273.0	K		hargrave 2021-11-18 16:14:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CB10-1a	CB10-1a_LP-DIR-T	CB10-1		lt	165.1	64.1	2.0	3.0	-1.0	26.0	1.8	473.0	273.0	K		hargrave 2021-11-18 16:14:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CB10-1a	CB10-1a_LP-DIR-T	CB10-1		mt	63.1	37.6	2.0	9.0	-1.0	0.0	1.9	859.0	813.0	K		hargrave 2021-11-18 16:14:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		
CB10-1a		CB10-1																	This study	LP-NOMAG			
CB10-1a	CB10-1a_LP-DIR-T	CB10-1		mt	252.5	28.6	2.0	9.0	0.0	0.0	1.9	859.0	813.0	K		hargrave 2021-11-18 16:14:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		
CB10-1a	CB10-1a_LP-DIR-T	CB10-1		lt	352.4	69.7	2.0	3.0	100.0	26.0	1.8	473.0	273.0	K		hargrave 2021-11-18 16:14:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CB10-1a	CB10-1a_LP-DIR-T	CB10-1		mt	258.3	32.1	2.0	9.0	100.0	0.0	1.9	859.0	813.0	K		hargrave 2021-11-18 16:14:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		
CB10-2a	CB10-2a_LP-DIR-T	CB10-2		lt	187.6	47.4	2.0	3.0	-1.0	27.7	2.3	473.0	273.0	K		hargrave 2021-11-18 16:15:47	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CB10-2a	CB10-2a_LP-DIR-T	CB10-2		mt	218.2	-6.4	2.0	12.0	-1.0	0.0	1.4	859.0	773.0	K		hargrave 2021-11-18 16:15:47	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		
CB10-2a	CB10-2a_LP-DIR-T	CB10-2		lt	8.6	73.6	2.0	3.0	0.0	27.7	2.3	473.0	273.0	K		hargrave 2021-11-18 16:15:47	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CB10-2a	CB10-2a_LP-DIR-T	CB10-2		mt	257.3	37.1	2.0	12.0	0.0	0.0	1.4	859.0	773.0	K		hargrave 2021-11-18 16:15:47	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		
CB10-2a	CB10-2a_LP-DIR-T	CB10-2		lt	7.2	63.2	2.0	3.0	100.0	27.7	2.3	473.0	273.0	K		hargrave 2021-11-18 16:15:47	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CB10-2a	CB10-2a_LP-DIR-T	CB10-2		mt	265.4	39.6	2.0	12.0	100.0	0.0	1.4	859.0	773.0	K		hargrave 2021-11-18 16:15:47	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		
CB10-2a		CB10-2																	This study	LP-NOMAG			
CB10-3a		CB10-3																	This study	LP-NOMAG			
CB10-4a	CB10-4a_LP-DIR-T	CB10-4		lt	353.5	52.3	2.0	3.0	0.0	17.0	2.9	473.0	273.0	K		hargrave 2021-11-18 16:19:07	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CB10-4a	CB10-4a_LP-DIR-T	CB10-4		mt	269.8	32.3	2.0	8.0	0.0	0.0	4.1	859.0	823.0	K		hargrave 2021-11-18 16:19:07	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		
CB10-4a	CB10-4a_LP-DIR-T	CB10-4		lt	355.5	42.1	2.0	3.0	100.0	17.0	2.9	473.0	273.0	K		hargrave 2021-11-18 16:19:07	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CB10-4a	CB10-4a_LP-DIR-T	CB10-4		mt	276.4	32.6	2.0	8.0	100.0	0.0	4.1	859.0	823.0	K		hargrave 2021-11-18 16:19:07	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		
CB10-4a		CB10-4																	This study	LP-NOMAG			
CB10-4a	CB10-4a_LP-DIR-T	CB10-4		mt	109.5	26.4	2.0	8.0	-1.0	0.0	4.1	859.0	823.0	K		hargrave 2021-11-18 16:19:07	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		
CB10-4a	CB10-4a_LP-DIR-T	CB10-4		lt	174.1	13.6	2.0	3.0	-1.0	17.0	2.9	473.0	273.0	K		hargrave 2021-11-18 16:19:07	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CB10-5a		CB10-5																	This study	LP-NOMAG			
CB10-5a	CB10-5a_LP-DIR-T	CB10-5		mt	276.7	38.5	2.0	10.0	100.0	0.0	4.1	859.0	803.0	K		hargrave 2021-11-18 16:22:46	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		
CB10-5a	CB10-5a_LP-DIR-T	CB10-5		mt	268.4	38.1	2.0	10.0	0.0	0.0	4.1	859.0	803.0	K		hargrave 2021-11-18 16:22:46	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		
CB10-5a	CB10-5a_LP-DIR-T	CB10-5		lt	2.4	58.7	2.0	4.0	0.0	26.3	1.7	573.0	273.0	K		hargrave 2021-11-18 16:22:46	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CB10-5a	CB10-5a_LP-DIR-T	CB10-5		lt	194.0	6.4	2.0	4.0	-1.0	26.3	1.7	573.0	273.0	K		hargrave 2021-11-18 16:22:46	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CB10-5a	CB10-5a_LP-DIR-T	CB10-5		mt	133.5	5.6	2.0	10.0	-1.0	0.0	4.1	859.0	803.0	K		hargrave 2021-11-18 16:22:46	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		
CB10-5a	CB10-5a_LP-DIR-T	CB10-5		lt	3.0	48.3	2.0	4.0	100.0	26.3	1.7	573.0	273.0	K		hargrave 2021-11-18 16:22:46	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CB10-6a	CB10-6a_LP-DIR-T	CB10-6		lt	221.4	43.5	2.0	3.0	-1.0	24.5	1.8	473.0	273.0	K		hargrave 2021-11-18 16:24:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CB10-6a	CB10-6a_LP-DIR-T	CB10-6		mt	208.3	-5.6	2.0	12.0	-1.0	0.0	1.9	859.0	773.0	K		hargrave 2021-11-18 16:24:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		
CB10-6a	CB10-6a_LP-DIR-T	CB10-6		lt	358.0	54.6	2.0	3.0	0.0	24.5	1.8	473.0	273.0	K		hargrave 2021-11-18 16:24:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CB10-6a	CB10-6a_LP-DIR-T	CB10-6		mt	276.1	45.3	2.0	12.0	0.0	0.0	1.9	859.0	773.0	K		hargrave 2021-11-18 16:24:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		
CB10-6a	CB10-6a_LP-DIR-T	CB10-6		lt	359.3	44.3	2.0	3.0	100.0	24.5	1.8	473.0	273.0	K		hargrave 2021-11-18 16:24:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CB10-6a	CB10-6a_LP-DIR-T	CB10-6		mt	286.4	44.1	2.0	12.0	100.0	0.0	1.9	859.0	773.0	K		hargrave 2021-11-18 16:24:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		
CB10-6a		CB10-6																	This study	LP-NOMAG			
CB10-7a		CB10-7																	This study	LP-NOMAG			
CB10-7a	CB10-7a_LP-DIR-T	CB10-7		lt	359.7	52.8	2.0	3.0	100.0	29.2	1.0	473.0	273.0	K		hargrave 2021-11-18 16:25:45	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CB10-7a	CB10-7a_LP-DIR-T	CB10-7		mt	281.0	36.6	2.0	11.0	100.0	0.0	2.4	859.0	793.0	K		hargrave 2021-11-18 16:25:45	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		
CB10-7a	CB10-7a_LP-DIR-T	CB10-7		mt	273.2	37.0	2.0	11.0	0.0	0.0	2.4	859.0	793.0	K		hargrave 2021-11-18 16:25:45	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		
CB10-7a	CB10-7a_LP-DIR-T	CB10-7		lt	357.9	63.1	2.0	3.0	0.0	29.2	1.0	473.0	273.0	K		hargrave 2021-11-18 16:25:45	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CB10-7a	CB10-7a_LP-DIR-T	CB10-7		mt	325.3	50.8	2.0	11.0	-1.0	0.0	2.4	859.0	793.0	K		hargrave 2021-11-18 16:25:45	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		
CB10-7a	CB10-7a_LP-DIR-T	CB10-7		lt	92.3	67.4	2.0	3.0	-1.0	29.2	1.0	473.0	273.0	K		hargrave 2021-11-18 16:25:45	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CB10-8a	CB10-8a_LP-DIR-T	CB10-8		mt	225.5	-0.1	2.0	12.0	-1.0	0.0	1.5	859.0	773.0	K		hargrave 2021-11-18 16:27:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		
CB10-8a	CB10-8a_LP-DIR-T	CB10-8		lt	357.2	70.2	2.0	3.0	0.0	27.4	1.3	473.0	273.0	K		hargrave 2021-11-18 16:27:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CB10-8a	CB10-8a_LP-DIR-T	CB10-8		lt	359.6	59.8	2.0	3.0	100.0	27.4	1.3	473.0	273.0	K		hargrave 2021-11-18 16:27:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CB10-8a	CB10-8a_LP-DIR-T	CB10-8		mt	275.0	40.1	2.0	12.0	100.0	0.0	1.5	859.0	773.0	K		hargrave 2021-11-18 16:27:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		
CB10-8a	CB10-8a_LP-DIR-T	CB10-8		lt	190.0	43.1	2.0	3.0	-1.0	27.4	1.3	473.0	273.0	K		hargrave 2021-11-18 16:27:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CB10-8a	CB10-8a_LP-DIR-T	CB10-8		mt	266.3	39.4	2.0	12.0	0.0	0.0	1.5	859.0	773.0	K		hargrave 2021-11-18 16:27:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		
