tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
CB1-1a_LP-DIR-T-13	CB1-1a_LP-DIR-T	CB1-1a	0.3	326.8	70.9	0	0	0.0	0.0	12	783.0	This study	hargrave 2021-10-17 16:41:13	LT-T-Z:LP-DIR-T	g	13	u	8	273			pmagpy-4.2.24-1	7.83e-07	1.84e-09	2.74e-09	2.84e-09
CB1-1a_LP-DIR-T-14	CB1-1a_LP-DIR-T	CB1-1a	0.3	328.9	70.6	0	0	0.0	0.0	13	793.0	This study	hargrave 2021-10-18 15:49:09	LT-T-Z:LP-DIR-T	g	14	u	8	273			pmagpy-4.2.24-1	7.440000000000002e-07	2.63e-09	3.08e-09	2.79e-09
CB1-1a_LP-DIR-T-15	CB1-1a_LP-DIR-T	CB1-1a	0.6	331.6	70.8	0	0	0.0	0.0	14	803.0	This study	hargrave 2021-10-19 12:39:07	LT-T-Z:LP-DIR-T	g	15	u	8	273			pmagpy-4.2.24-1	7.11e-07	4.51e-09	5.520000000000001e-09	2.53e-09
CB1-1a_LP-DIR-T-16	CB1-1a_LP-DIR-T	CB1-1a	0.5	330.9	70.9	0	0	0.0	0.0	15	808.0	This study	hargrave 2021-10-20 11:48:46	LT-T-Z:LP-DIR-T	g	16	u	8	273			pmagpy-4.2.24-1	6.790000000000001e-07	3.71e-09	4.66e-09	2.57e-09
CB1-1a_LP-DIR-T-17	CB1-1a_LP-DIR-T	CB1-1a	0.6	331.3	70.9	0	0	0.0	0.0	16	808.0	This study	hargrave 2021-10-20 13:29:49	LT-T-Z:LP-DIR-T	g	17	u	8	273			pmagpy-4.2.24-1	6.8e-07	4.45e-09	5.589999999999999e-09	2.6600000000000003e-09
CB1-1a_LP-DIR-T-18	CB1-1a_LP-DIR-T	CB1-1a	0.8	327.1	70.8	0	0	0.0	0.0	17	813.0	This study	hargrave 2021-10-22 08:49:13	LT-T-Z:LP-DIR-T	g	18	u	8	273			pmagpy-4.2.24-1	6.48e-07	4.42e-09	7.26e-09	2.41e-09
CB1-1a_LP-DIR-T-19	CB1-1a_LP-DIR-T	CB1-1a	2.0	331.6	70.6	0	0	0.0	0.0	18	818.0	This study	hargrave 2021-10-22 18:01:06	LT-T-Z:LP-DIR-T	g	19	u	8	273			pmagpy-4.2.24-1	6.05e-07	1.06e-08	1.88e-08	2.72e-09
CB1-1a_LP-DIR-T-20	CB1-1a_LP-DIR-T	CB1-1a	1.2	330.8	70.6	0	0	0.0	0.0	19	823.0	This study	hargrave 2021-10-24 10:55:18	LT-T-Z:LP-DIR-T	g	20	u	8	273			pmagpy-4.2.24-1	5.9e-07	7.249999999999999e-09	1.05e-08	2.5e-09
CB1-1a_LP-DIR-T-21	CB1-1a_LP-DIR-T	CB1-1a	1.6	331.2	70.7	0	0	0.0	0.0	20	828.0	This study	hargrave 2021-10-25 09:02:08	LT-T-Z:LP-DIR-T	g	21	u	8	273			pmagpy-4.2.24-1	5.660000000000001e-07	8.82e-09	1.27e-08	2.48e-09
CB1-1a_LP-DIR-T-22	CB1-1a_LP-DIR-T	CB1-1a	2.2	331.5	70.8	0	0	0.0	0.0	21	833.0	This study	hargrave 2021-10-25 18:09:29	LT-T-Z:LP-DIR-T	g	22	u	8	273			pmagpy-4.2.24-1	5.37e-07	1.08e-08	1.73e-08	2.21e-09
CB1-1a_LP-DIR-T-23	CB1-1a_LP-DIR-T	CB1-1a	1.4	333.1	70.8	0	0	0.0	0.0	22	840.0	This study	hargrave 2021-10-26 14:16:03	LT-T-Z:LP-DIR-T	g	23	u	8	273			pmagpy-4.2.24-1	4.93e-07	6.67e-09	1.02e-08	2.0100000000000003e-09
CB1-1a_LP-DIR-T-24	CB1-1a_LP-DIR-T	CB1-1a	1.6	329.2	70.0	0	0	0.0	0.0	23	848.0	This study	hargrave 2021-10-27 12:09:10	LT-T-Z:LP-DIR-T	g	24	u	8	273			pmagpy-4.2.24-1	4.26e-07	7.249999999999999e-09	9.12e-09	1.6800000000000004e-09
CB1-1a_LP-DIR-T-25	CB1-1a_LP-DIR-T	CB1-1a	1.7	331.3	70.4	0	0	0.0	0.0	24	855.0	This study	hargrave 2021-10-27 18:14:13	LT-T-Z:LP-DIR-T	g	25	u	8	273			pmagpy-4.2.24-1	3.6e-07	6.43e-09	8.62e-09	1.46e-09
CB1-1a_LP-DIR-T-26	CB1-1a_LP-DIR-T	CB1-1a	1.6	324.1	70.5	0	0	0.0	0.0	25	862.0	This study	hargrave 2021-10-28 15:56:12	LT-T-Z:LP-DIR-T	g	26	u	8	273			pmagpy-4.2.24-1	3.2600000000000003e-07	5.81e-09	6.7799999999999985e-09	1.31e-09
CB1-1a_LP-DIR-T-27	CB1-1a_LP-DIR-T	CB1-1a	0.8	325.8	73.1	0	0	0.0	0.0	26	883.0	This study	hargrave 2021-11-22 17:02:43	LT-T-Z:LP-DIR-T	g	27	u	8	273			pmagpy-4.2.24-1	3.07e-07	3.09e-09	3.11e-09	8.05e-10
CB1-1a_LP-DIR-T-28	CB1-1a_LP-DIR-T	CB1-1a	2.1	335.3	66.9	0	0	0.0	0.0	27	898.0	This study	hargrave 2021-11-23 13:50:12	LT-T-Z:LP-DIR-T	g	28	u	8	273			pmagpy-4.2.24-1	2.95e-07	5.3600000000000005e-09	9.14e-09	9.37e-10
CB1-1a_LP-DIR-T-29	CB1-1a_LP-DIR-T	CB1-1a	2.0	328.9	68.3	0	0	0.0	0.0	28	913.0	This study	hargrave 2021-11-24 10:16:51	LT-T-Z:LP-DIR-T	g	29	u	8	273			pmagpy-4.2.24-1	2.99e-07	6.19e-09	8.370000000000001e-09	1.1e-09
CB1-1a_LP-DIR-T-30	CB1-1a_LP-DIR-T	CB1-1a	2.1	320.8	67.7	0	0	0.0	0.0	29	928.0	This study	hargrave 2021-11-25 15:00:20	LT-T-Z:LP-DIR-T	g	30	u	8	273			pmagpy-4.2.24-1	2.12e-07	6.27e-09	4.62e-09	7.54e-10
CB1-1a_LP-DIR-T-31	CB1-1a_LP-DIR-T	CB1-1a	1.1	329.9	73.1	0	0	0.0	0.0	30	933.0	This study	hargrave 2021-11-27 18:09:44	LT-T-Z:LP-DIR-T	g	31	u	8	273			pmagpy-4.2.24-1	1.95e-07	3.22e-09	2.15e-09	6.31e-10
CB1-1a_LP-DIR-T-32	CB1-1a_LP-DIR-T	CB1-1a	1.8	320.6	64.9	0	0	0.0	0.0	31	938.0	This study	hargrave 2021-11-28 18:19:09	LT-T-Z:LP-DIR-T	g	32	u	8	273			pmagpy-4.2.24-1	2.01e-07	5.520000000000001e-09	2.87e-09	9.25e-10
CB1-1a_LP-DIR-T-33	CB1-1a_LP-DIR-T	CB1-1a	1.4	341.1	67.0	0	0	0.0	0.0	32	940.0	This study	hargrave 2021-11-29 14:03:00	LT-T-Z:LP-DIR-T	g	33	u	8	273			pmagpy-4.2.24-1	2.14e-07	3.27e-09	4.24e-09	9e-10
CB1-1a_LP-DIR-T-34	CB1-1a_LP-DIR-T	CB1-1a	1.2	283.9	68.9	0	0	0.0	0.0	33	943.0	This study	hargrave 2021-11-30 10:38:06	LT-T-Z:LP-DIR-T	g	34	u	8	273			pmagpy-4.2.24-1	1.16e-07	2.14e-09	1.11e-09	5.269999999999999e-10
CB1-1a_LP-DIR-T-35	CB1-1a_LP-DIR-T	CB1-1a	1.6	347.5	56.4	0	0	0.0	0.0	34	945.0	This study	hargrave 2021-11-30 15:57:33	LT-T-Z:LP-DIR-T	g	35	u	8	273			pmagpy-4.2.24-1	1.1e-07	2.22e-09	2.4e-09	5.66e-10
CB1-1a_LP-DIR-T-36	CB1-1a_LP-DIR-T	CB1-1a	1.2	299.1	47.5	0	0	0.0	0.0	35	948.0	This study	hargrave 2021-12-01 14:36:32	LT-T-Z:LP-DIR-T	g	36	u	8	273			pmagpy-4.2.24-1	1.08e-07	6.02e-10	2.26e-09	7.27e-10
CB1-1a_LP-DIR-T-37	CB1-1a_LP-DIR-T	CB1-1a	1.5	358.6	52.8	0	0	0.0	0.0	36	953.0	This study	hargrave 2021-12-02 09:40:04	LT-T-Z:LP-DIR-T	g	37	u	8	273			pmagpy-4.2.24-1	8.220000000000001e-08	1.1e-09	2.05e-09	5.820000000000001e-10
CB1-1a_LP-DIR-T-38	CB1-1a_LP-DIR-T	CB1-1a	2.7	112.0	73.6	0	0	0.0	0.0	37	958.0	This study	hargrave 2021-12-02 19:17:59	LT-T-Z:LP-DIR-T	g	38	u	8	273			pmagpy-4.2.24-1	5.48e-08	2.6e-09	7.18e-10	5.49e-10
CB1-1a_LP-DIR-T-39	CB1-1a_LP-DIR-T	CB1-1a	4.7	149.8	42.4	0	0	0.0	0.0	38	963.0	This study	hargrave 2021-12-03 19:33:13	LT-T-Z:LP-DIR-T	g	39	u	8	273			pmagpy-4.2.24-1	3.25e-08	6.189999999999999e-10	2.9100000000000005e-09	2.93e-10
CB1-2a_LP-DIR-T-40	CB1-2a_LP-DIR-T	CB1-2a	2.7	148.6	34.7	0	0	0.0	0.0	0	273.0	This study	hargrave 2021-09-04 14:42:01	LT-NO:LP-DIR-T	g	40	u	8	273			pmagpy-4.2.24-1	2.81e-06	6.52e-08	1.15e-07	2.31e-08
CB1-2a_LP-DIR-T-41	CB1-2a_LP-DIR-T	CB1-2a	4.0	147.0	34.4	0	0	0.0	0.0	1	273.0	This study	hargrave 2021-09-05 14:31:30	LT-NO:LP-DIR-T	g	41	u	8	273			pmagpy-4.2.24-1	2.78e-06	1.03e-07	1.62e-07	2.16e-08
CB1-2a_LP-DIR-T-42	CB1-2a_LP-DIR-T	CB1-2a	3.6	147.2	41.0	0	0	0.0	0.0	2	473.0	This study	hargrave 2021-09-06 13:10:48	LT-T-Z:LP-DIR-T	g	42	u	8	273			pmagpy-4.2.24-1	2.41e-06	7.74e-08	1.28e-07	1.66e-08
CB1-2a_LP-DIR-T-43	CB1-2a_LP-DIR-T	CB1-2a	1.3	146.4	46.8	0	0	0.0	0.0	3	573.0	This study	hargrave 2021-09-07 11:42:30	LT-T-Z:LP-DIR-T	g	43	u	8	273			pmagpy-4.2.24-1	2.16e-06	3.12e-08	3.64e-08	1.48e-08
CB1-2a_LP-DIR-T-44	CB1-2a_LP-DIR-T	CB1-2a	2.0	146.3	50.4	0	0	0.0	0.0	4	598.0	This study	hargrave 2021-09-08 08:40:39	LT-T-Z:LP-DIR-T	g	44	u	8	273			pmagpy-4.2.24-1	1.84e-06	3.11e-08	5.44e-08	1.05e-08
CB1-2a_LP-DIR-T-45	CB1-2a_LP-DIR-T	CB1-2a	0.7	142.6	53.1	0	0	0.0	0.0	5	623.0	This study	hargrave 2021-09-08 15:54:09	LT-T-Z:LP-DIR-T	g	45	u	8	273			pmagpy-4.2.24-1	1.53e-06	9.32e-09	1.41e-08	9.61e-09
CB1-2a_LP-DIR-T-46	CB1-2a_LP-DIR-T	CB1-2a	1.7	142.3	55.1	0	0	0.0	0.0	6	648.0	This study	hargrave 2021-09-10 08:05:35	LT-T-Z:LP-DIR-T	g	46	u	8	273			pmagpy-4.2.24-1	1.37e-06	2.41e-08	3.16e-08	7.780000000000001e-09
CB1-2a_LP-DIR-T-47	CB1-2a_LP-DIR-T	CB1-2a	1.6	138.7	54.9	0	0	0.0	0.0	7	673.0	This study	hargrave 2021-09-13 08:04:49	LT-T-Z:LP-DIR-T	g	47	u	8	273			pmagpy-4.2.24-1	1.28e-06	1.42e-08	3.09e-08	1.02e-08
CB1-2a_LP-DIR-T-48	CB1-2a_LP-DIR-T	CB1-2a	0.9	142.1	56.0	0	0	0.0	0.0	8	698.0	This study	hargrave 2021-09-27 08:41:15	LT-T-Z:LP-DIR-T	g	48	u	8	273			pmagpy-4.2.24-1	1.2e-06	1.07e-08	1.59e-08	7.73e-09
CB1-2a_LP-DIR-T-49	CB1-2a_LP-DIR-T	CB1-2a	3.3	142.3	56.2	0	0	0.0	0.0	9	723.0	This study	hargrave 2021-09-27 18:03:41	LT-T-Z:LP-DIR-T	g	49	u	8	273			pmagpy-4.2.24-1	1.14e-06	3.92e-08	5.35e-08	9.43e-09
CB1-2a_LP-DIR-T-50	CB1-2a_LP-DIR-T	CB1-2a	1.9	142.9	56.5	0	0	0.0	0.0	10	748.0	This study	hargrave 2021-10-14 15:24:58	LT-T-Z:LP-DIR-T	g	50	u	8	273			pmagpy-4.2.24-1	1.06e-06	2.56e-08	2.39e-08	6.7900000000000016e-09
CB1-2a_LP-DIR-T-51	CB1-2a_LP-DIR-T	CB1-2a	2.1	142.8	56.4	0	0	0.0	0.0	11	773.0	This study	hargrave 2021-10-16 13:19:55	LT-T-Z:LP-DIR-T	g	51	u	8	273			pmagpy-4.2.24-1	9.759999999999998e-07	1.93e-08	2.99e-08	6.01e-09
CB1-2a_LP-DIR-T-52	CB1-2a_LP-DIR-T	CB1-2a	0.7	143.3	56.1	0	0	0.0	0.0	12	783.0	This study	hargrave 2021-10-17 16:42:46	LT-T-Z:LP-DIR-T	g	52	u	8	273			pmagpy-4.2.24-1	9.11e-07	7.390000000000001e-09	5.84e-09	8.23e-09
CB1-2a_LP-DIR-T-53	CB1-2a_LP-DIR-T	CB1-2a	1.5	144.0	56.5	0	0	0.0	0.0	13	793.0	This study	hargrave 2021-10-18 15:50:43	LT-T-Z:LP-DIR-T	g	53	u	8	273			pmagpy-4.2.24-1	8.529999999999998e-07	9.24e-09	2.13e-08	5.31e-09
CB1-2a_LP-DIR-T-54	CB1-2a_LP-DIR-T	CB1-2a	2.3	142.2	56.7	0	0	0.0	0.0	14	803.0	This study	hargrave 2021-10-19 12:40:41	LT-T-Z:LP-DIR-T	g	54	u	8	273			pmagpy-4.2.24-1	8.079999999999998e-07	1.78e-08	2.77e-08	5.870000000000001e-09
CB1-2a_LP-DIR-T-55	CB1-2a_LP-DIR-T	CB1-2a	1.4	149.1	56.4	0	0	0.0	0.0	15	808.0	This study	hargrave 2021-10-20 11:50:21	LT-T-Z:LP-DIR-T	g	55	u	8	273			pmagpy-4.2.24-1	7.709999999999998e-07	7.4e-09	1.73e-08	5.74e-09
CB1-2a_LP-DIR-T-56	CB1-2a_LP-DIR-T	CB1-2a	1.4	149.2	56.4	0	0	0.0	0.0	16	808.0	This study	hargrave 2021-10-20 13:31:22	LT-T-Z:LP-DIR-T	g	56	u	8	273			pmagpy-4.2.24-1	7.709999999999998e-07	7.72e-09	1.79e-08	5.789999999999999e-09
CB1-2a_LP-DIR-T-57	CB1-2a_LP-DIR-T	CB1-2a	0.7	139.9	56.2	0	0	0.0	0.0	17	813.0	This study	hargrave 2021-10-22 08:50:47	LT-T-Z:LP-DIR-T	g	57	u	8	273			pmagpy-4.2.24-1	7.3e-07	4.7e-09	3.14e-09	7.3e-09
CB1-2a_LP-DIR-T-58	CB1-2a_LP-DIR-T	CB1-2a	0.9	144.4	56.9	0	0	0.0	0.0	18	818.0	This study	hargrave 2021-10-22 18:02:40	LT-T-Z:LP-DIR-T	g	58	u	8	273			pmagpy-4.2.24-1	6.629999999999999e-07	5.21e-09	8.940000000000001e-09	4.48e-09
CB1-2a_LP-DIR-T-59	CB1-2a_LP-DIR-T	CB1-2a	0.8	145.3	56.8	0	0	0.0	0.0	19	823.0	This study	hargrave 2021-10-24 10:56:51	LT-T-Z:LP-DIR-T	g	59	u	8	273			pmagpy-4.2.24-1	6.25e-07	7.970000000000001e-09	4.5e-09	4.13e-09
CB1-2a_LP-DIR-T-60	CB1-2a_LP-DIR-T	CB1-2a	0.8	146.0	56.9	0	0	0.0	0.0	20	828.0	This study	hargrave 2021-10-25 09:03:42	LT-T-Z:LP-DIR-T	g	60	u	8	273			pmagpy-4.2.24-1	5.96e-07	3.37e-09	8.009999999999999e-09	3.93e-09
CB1-2a_LP-DIR-T-61	CB1-2a_LP-DIR-T	CB1-2a	2.1	143.8	56.8	0	0	0.0	0.0	21	833.0	This study	hargrave 2021-10-25 18:11:02	LT-T-Z:LP-DIR-T	g	61	u	8	273			pmagpy-4.2.24-1	5.33e-07	8.95e-09	1.75e-08	3.73e-09
CB1-2a_LP-DIR-T-62	CB1-2a_LP-DIR-T	CB1-2a	2.0	144.5	56.6	0	0	0.0	0.0	22	840.0	This study	hargrave 2021-10-26 14:17:36	LT-T-Z:LP-DIR-T	g	62	u	8	273			pmagpy-4.2.24-1	4.839999999999999e-07	6.720000000000002e-09	1.53e-08	3.06e-09
CB1-2a_LP-DIR-T-63	CB1-2a_LP-DIR-T	CB1-2a	1.0	147.1	57.0	0	0	0.0	0.0	23	848.0	This study	hargrave 2021-10-27 12:10:43	LT-T-Z:LP-DIR-T	g	63	u	8	273			pmagpy-4.2.24-1	4.03e-07	2.48e-09	7.06e-09	2.82e-09
CB1-2a_LP-DIR-T-64	CB1-2a_LP-DIR-T	CB1-2a	0.7	142.4	56.6	0	0	0.0	0.0	24	855.0	This study	hargrave 2021-10-27 18:16:36	LT-T-Z:LP-DIR-T	g	64	u	8	273			pmagpy-4.2.24-1	3.770000000000001e-07	2.36e-09	4.07e-09	2.84e-09
CB1-2a_LP-DIR-T-65	CB1-2a_LP-DIR-T	CB1-2a	2.0	145.5	56.3	0	0	0.0	0.0	25	862.0	This study	hargrave 2021-10-28 15:58:37	LT-T-Z:LP-DIR-T	g	65	u	8	273			pmagpy-4.2.24-1	3.49e-07	5.03e-09	1.1e-08	2.53e-09
CB1-2a_LP-DIR-T-66	CB1-2a_LP-DIR-T	CB1-2a	2.2	147.5	58.5	0	0	0.0	0.0	26	883.0	This study	hargrave 2021-11-22 17:04:12	LT-T-Z:LP-DIR-T	g	66	u	8	273			pmagpy-4.2.24-1	3.2600000000000003e-07	7.67e-09	9.4e-09	3.13e-09
CB1-2a_LP-DIR-T-67	CB1-2a_LP-DIR-T	CB1-2a	2.4	148.2	61.9	0	0	0.0	0.0	27	898.0	This study	hargrave 2021-11-23 13:51:41	LT-T-Z:LP-DIR-T	g	67	u	8	273			pmagpy-4.2.24-1	2.89e-07	7.219999999999999e-09	9.63e-09	2.54e-09
CB1-2a_LP-DIR-T-68	CB1-2a_LP-DIR-T	CB1-2a	3.3	146.8	63.8	0	0	0.0	0.0	28	913.0	This study	hargrave 2021-11-24 10:18:20	LT-T-Z:LP-DIR-T	g	68	u	8	273			pmagpy-4.2.24-1	2.58e-07	8.99e-09	1.16e-08	2.63e-09
CB1-2a_LP-DIR-T-69	CB1-2a_LP-DIR-T	CB1-2a	0.7	156.2	59.7	0	0	0.0	0.0	29	928.0	This study	hargrave 2021-11-25 15:02:37	LT-T-Z:LP-DIR-T	g	69	u	8	273			pmagpy-4.2.24-1	1.9e-07	1.0300000000000002e-09	1.7800000000000005e-09	1.82e-09
CB1-2a_LP-DIR-T-70	CB1-2a_LP-DIR-T	CB1-2a	2.6	149.5	55.0	0	0	0.0	0.0	30	933.0	This study	hargrave 2021-11-27 18:11:11	LT-T-Z:LP-DIR-T	g	70	u	8	273			pmagpy-4.2.24-1	1.76e-07	4.09e-09	6.970000000000001e-09	2.0800000000000003e-09
CB1-2a_LP-DIR-T-71	CB1-2a_LP-DIR-T	CB1-2a	2.0	157.1	65.0	0	0	0.0	0.0	31	938.0	This study	hargrave 2021-11-28 18:21:24	LT-T-Z:LP-DIR-T	g	71	u	8	273			pmagpy-4.2.24-1	1.43e-07	2.21e-09	4.55e-09	1.4300000000000002e-09
CB1-2a_LP-DIR-T-72	CB1-2a_LP-DIR-T	CB1-2a	0.6	117.2	65.0	0	0	0.0	0.0	32	940.0	This study	hargrave 2021-11-29 14:06:36	LT-T-Z:LP-DIR-T	g	72	u	8	273			pmagpy-4.2.24-1	1.29e-07	8.450000000000002e-10	1.25e-09	8.35e-10
CB1-2a_LP-DIR-T-73	CB1-2a_LP-DIR-T	CB1-2a	1.7	186.0	66.7	0	0	0.0	0.0	33	943.0	This study	hargrave 2021-11-30 10:41:40	LT-T-Z:LP-DIR-T	g	73	u	8	273			pmagpy-4.2.24-1	7.809999999999999e-08	7.14e-10	2.15e-09	8.899999999999998e-10
CB1-3a_LP-DIR-T-74	CB1-3a_LP-DIR-T	CB1-3a	2.2	133.4	48.1	0	0	0.0	0.0	0	273.0	This study	hargrave 2021-09-04 14:43:32	LT-NO:LP-DIR-T	g	74	u	8	273			pmagpy-4.2.24-1	3.09e-06	1.01e-07	4.7800000000000005e-08	5.01e-08
CB1-3a_LP-DIR-T-75	CB1-3a_LP-DIR-T	CB1-3a	1.7	132.1	47.6	0	0	0.0	0.0	1	273.0	This study	hargrave 2021-09-05 14:33:00	LT-NO:LP-DIR-T	g	75	u	8	273			pmagpy-4.2.24-1	3.06e-06	1.44e-08	6.580000000000001e-08	5.85e-08
CB1-3a_LP-DIR-T-76	CB1-3a_LP-DIR-T	CB1-3a	4.3	119.4	49.3	0	0	0.0	0.0	2	473.0	This study	hargrave 2021-09-06 13:12:18	LT-T-Z:LP-DIR-T	g	76	u	8	273			pmagpy-4.2.24-1	2.64e-06	1.82e-07	6.22e-08	3.99e-08
CB1-3a_LP-DIR-T-77	CB1-3a_LP-DIR-T	CB1-3a	1.1	111.7	49.9	0	0	0.0	0.0	3	573.0	This study	hargrave 2021-09-07 11:44:02	LT-T-Z:LP-DIR-T	g	77	u	8	273			pmagpy-4.2.24-1	2.35e-06	2.32e-08	2.4700000000000003e-08	3.36e-08
CB1-3a_LP-DIR-T-78	CB1-3a_LP-DIR-T	CB1-3a	4.4	105.3	51.1	0	0	0.0	0.0	4	598.0	This study	hargrave 2021-09-08 08:42:10	LT-T-Z:LP-DIR-T	g	78	u	8	273			pmagpy-4.2.24-1	1.79e-06	1.35e-07	9.11e-09	2.37e-08
CB1-3a_LP-DIR-T-79	CB1-3a_LP-DIR-T	CB1-3a	3.8	98.3	51.1	0	0	0.0	0.0	5	623.0	This study	hargrave 2021-09-08 15:56:29	LT-T-Z:LP-DIR-T	g	79	u	8	273			pmagpy-4.2.24-1	1.46e-06	9.56e-08	8.9e-09	2.01e-08
CB1-3a_LP-DIR-T-80	CB1-3a_LP-DIR-T	CB1-3a	4.3	96.8	51.4	0	0	0.0	0.0	6	648.0	This study	hargrave 2021-09-10 08:07:09	LT-T-Z:LP-DIR-T	g	80	u	8	273			pmagpy-4.2.24-1	1.34e-06	9.91e-08	9.07e-09	1.74e-08
CB1-3a_LP-DIR-T-81	CB1-3a_LP-DIR-T	CB1-3a	2.5	98.4	50.7	0	0	0.0	0.0	7	673.0	This study	hargrave 2021-09-13 08:06:02	LT-T-Z:LP-DIR-T	g	81	u	8	273			pmagpy-4.2.24-1	1.27e-06	5.08e-08	1.43e-08	1.75e-08
CB1-3a_LP-DIR-T-82	CB1-3a_LP-DIR-T	CB1-3a	2.4	97.3	51.3	0	0	0.0	0.0	8	698.0	This study	hargrave 2021-09-27 08:42:46	LT-T-Z:LP-DIR-T	g	82	u	8	273			pmagpy-4.2.24-1	1.22e-06	4.8e-08	8.82e-09	1.41e-08
CB1-3a_LP-DIR-T-83	CB1-3a_LP-DIR-T	CB1-3a	0.7	98.3	51.8	0	0	0.0	0.0	9	723.0	This study	hargrave 2021-09-27 18:05:12	LT-T-Z:LP-DIR-T	g	83	u	8	273			pmagpy-4.2.24-1	1.16e-06	6.890000000000002e-09	8.809999999999999e-09	1.13e-08
