tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
CB7-1a	CB7-1		This study	LP-NOMAG		
CB7-2a	CB7-2		This study	LP-NOMAG		
CB7-3a	CB7-3		This study	LP-NOMAG		
CB7-4a	CB7-4		This study	LP-NOMAG		
CB7-5a	CB7-5		This study	LP-NOMAG		
CB7-6a	CB7-6		This study	LP-NOMAG		
CB7-7a	CB7-7		This study	LP-NOMAG		
CB7-8a	CB7-8		This study	LP-NOMAG		
CB8-1a	CB8-1		This study	LP-NOMAG		
CB8-2a	CB8-2		This study	LP-NOMAG		
CB8-3a	CB8-3		This study	LP-NOMAG		
CB8-4a	CB8-4		This study	LP-NOMAG		
CB8-5a	CB8-5		This study	LP-NOMAG		
CB8-6a	CB8-6		This study	LP-NOMAG		
CB8-7a	CB8-7		This study	LP-NOMAG		
CB8-8a	CB8-8		This study	LP-NOMAG		
CB9-1a	CB9-1		This study	LP-NOMAG		
CB9-2a	CB9-2		This study	LP-NOMAG		
CB9-3a	CB9-3		This study	LP-NOMAG		
CB9-4a	CB9-4		This study	LP-NOMAG		
CB9-5a	CB9-5		This study	LP-NOMAG		
CB9-7a	CB9-7		This study	LP-NOMAG		
CB9-8a	CB9-8		This study	LP-NOMAG		
CB9-9a	CB9-9		This study	LP-NOMAG		
CB10-1a	CB10-1		This study	LP-NOMAG		
CB10-2a	CB10-2		This study	LP-NOMAG		
CB10-3a	CB10-3		This study	LP-NOMAG		
CB10-4a	CB10-4		This study	LP-NOMAG		
CB10-5a	CB10-5		This study	LP-NOMAG		
CB10-6a	CB10-6		This study	LP-NOMAG		
CB10-7a	CB10-7		This study	LP-NOMAG		
CB10-8a	CB10-8		This study	LP-NOMAG		
CB11-2a	CB11-2		This study	LP-NOMAG		
CB11-4a	CB11-4		This study	LP-NOMAG		
CB11-5a	CB11-5		This study	LP-NOMAG		
CB11-6a	CB11-6		This study	LP-NOMAG		
CB11-7a	CB11-7		This study	LP-NOMAG		
CB11-8a	CB11-8		This study	LP-NOMAG		
CB12-1a	CB12-1		This study	LP-NOMAG		
CB12-2a	CB12-2		This study	LP-NOMAG		
CB12-3a	CB12-3		This study	LP-NOMAG		
CB12-4a	CB12-4		This study	LP-NOMAG		
CB12-5a	CB12-5		This study	LP-NOMAG		
CB12-6a	CB12-6		This study	LP-NOMAG		
CB12-7a	CB12-7		This study	LP-NOMAG		
CB12-8a	CB12-8		This study	LP-NOMAG		
CB13-1a	CB13-1		This study	LP-NOMAG		
CB13-2a	CB13-2		This study	LP-NOMAG		
CB13-3a	CB13-3		This study	LP-NOMAG		
CB13-4a	CB13-4		This study	LP-NOMAG		
CB13-5a	CB13-5		This study	LP-NOMAG		
CB13-6a	CB13-6		This study	LP-NOMAG		
CB13-7a	CB13-7		This study	LP-NOMAG		
CB14-1a	CB14-1		This study	LP-NOMAG		
CB14-2a	CB14-2		This study	LP-NOMAG		
CB14-3a	CB14-3		This study	LP-NOMAG		
CB14-4a	CB14-4		This study	LP-NOMAG		
CB14-5a	CB14-5		This study	LP-NOMAG		
CB14-6a	CB14-6		This study	LP-NOMAG		
CB14-7a	CB14-7		This study	LP-NOMAG		
CB14-8a	CB14-8		This study	LP-NOMAG		
CB15-1a	CB15-1		This study	LP-NOMAG		
CB15-2a	CB15-2		This study	LP-NOMAG		
CB15-3a	CB15-3		This study	LP-NOMAG		
CB15-4a	CB15-4		This study	LP-NOMAG		
CB15-5a	CB15-5		This study	LP-NOMAG		
CB15-6a	CB15-6		This study	LP-NOMAG		
CB16-1a	CB16-1		This study	LP-NOMAG		
CB16-2a	CB16-2		This study	LP-NOMAG		
CB16-3a	CB16-3		This study	LP-NOMAG		
CB16-4a	CB16-4		This study	LP-NOMAG		
CB16-5a	CB16-5		This study	LP-NOMAG		
CB16-6a	CB16-6		This study	LP-NOMAG		
CB16-7a	CB16-7		This study	LP-NOMAG		
CB16-8a	CB16-8		This study	LP-NOMAG		
CB17-1a	CB17-1		This study	LP-NOMAG		
CB17-2a	CB17-2		This study	LP-NOMAG		
CB17-3a	CB17-3		This study	LP-NOMAG		
CB17-4a	CB17-4		This study	LP-NOMAG		
CB17-5a	CB17-5		This study	LP-NOMAG		
CB17-6a	CB17-6		This study	LP-NOMAG		
CB17-7a	CB17-7		This study	LP-NOMAG		
CB17-8a	CB17-8		This study	LP-NOMAG		
CB18-1a	CB18-1		This study	LP-NOMAG		
CB18-2a	CB18-2		This study	LP-NOMAG		
CB18-3a	CB18-3		This study	LP-NOMAG		
CB18-4a	CB18-4		This study	LP-NOMAG		
CB18-5a	CB18-5		This study	LP-NOMAG		
CB18-6a	CB18-6		This study	LP-NOMAG		
CB18-7a	CB18-7		This study	LP-NOMAG		
CB18-8a	CB18-8		This study	LP-NOMAG		
