PoleName,SLat,SLon,PLat,PLon,A95,K,N,PolarityZone,PmagRef,AgeNominal,AgeLower,AgeUpper,AgeInfo,AgeRef,Gaussian_2sigma,GaussianOrUniform,Q,color
Schroeder Lutsen Basalts,47.54,269.1,28.3,187.6,2.5,50.5,65,Portage Lake normal-polarity zone,"Books, 1972; Tauxe and Kodama, 2009; Fairchild et al., 2017",1090,1085,1091.5,$^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U date of of 1091.48 $\pm$ 0.21 Ma on Beaver Bay Complex aplite provides maximum age constraint,"Fairchild et al., 2017",,uniform,6,"(0.153894, 0.680203, 0.504172, 1.0)"
Portage Lake Volcanics,47.29,271.59000000000003,27.1,183.0,2.4,44.9,80,Portage Lake normal-polarity zone,"Books, 1972; Hnat et al., 2006",1092.51,1091.59,1093.37,$^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U dates on Copper City flow 1093.37 $\pm$ 0.53 Ma and Greenstone Flow 1091.59 $\pm$ 0.27 Ma provide a lower and upper bound,this study,0.89,gaussian,6,"(0.126326, 0.644107, 0.525311, 1.0)"
Lake Shore Traps,47.43,272.29,22.2,180.8,4.5,35.0,30,Portage Lake normal-polarity zone,"Diehl and Haig, 1994",1085.47,1084,1091,"Younger than Greenstone Flow, $^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U date on Lake Shore Trap andesitic flow of 1085.47 $\pm$ 0.32 Ma","Fairchild et al., 2017; this study",,uniform,6,"(0.335885, 0.777018, 0.402049, 1.0)"
Siemens Creek Volcanics,46.5,269.8,45.8,214.0,9.2,28.3,10,Alona Bay reversed-polarity zone,"Palmer and Halls, 1986",1108,1105,1111,Older than the $^{\mathrm{207}}$Pb/$^{\mathrm{206}}$Pb date of 1107.3 $\pm$ 1.6 Ma from a rhyolite in the Kallander Creek Volcanics,"Davis and Green, 1997",,uniform,6,"(0.265145, 0.232956, 0.516599, 1.0)"
Quebec Mine Member (Michipicoten Island),47.8,274.25,36.9,185.6,13.4,21.2,7,Portage Lake normal-polarity zone,"Palmer and Davis, 1987",1095,1086.5,1100,Older than ca. 1086.5 Ma $^{\mathrm{207}}$Pb/$^{\mathrm{206}}$Pb date on Michipicoten intrusive porphyry,"Palmer and Davis, 1987",,uniform,5,"(0.128729, 0.563265, 0.551229, 1.0)"
Michipicoten Island Formation,47.7,274.15,17.0,174.7,4.4,48.2,23,Portage Lake normal-polarity zone,"Palmer and Davis, 1987); Fairchild et al., 2017",1083.95,1083.52,1084.39,$^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U dates on the West Sand Bay tuff 1084.39 $\pm$ 0.21 Ma and the Davieux Island Rhyolite 1083.52 $\pm$ 0.23 Ma bracket the VGPs,"Fairchild et al., 2017",0.44,gaussian,6,"(0.421908, 0.805774, 0.35191, 1.0)"
Cardenas Basalt,36.3,248.1,15.9,183.9,7.4,,18,Portage Lake normal-polarity zone (sed),"Zhang et al., 2023",1082.18,1081.555,1082.805,"Data come from Mohr et al., 2023",,1.25,gaussian,,"(0.535621, 0.835785, 0.281908, 1.0)"
Nonesuch Formation,46.7,270.1,6.6,182.9,2.8,,11,Portage Lake normal-polarity zone (sed),"Slotznick et al., 2023",1075,1050,1085.57,Likely younger than Michipicoten Island Formation. Deposited prior to eruption of Bear Lake Volcanics in lower Freda Sandstone,,,uniform,,"(0.993248, 0.906157, 0.143936, 1.0)"
Freda Formation,46.7,270.1,2.2,179.0,4.2,,20,Portage Lake normal-polarity zone (sed),"Henry et al., 1977",1070,1060,1083.5,Data come from lowermost Freda Formation. Interbedded Bear Lake Volcanics suggest that not too much younger than youngest rift volcanism,,,uniform,,"(0.993248, 0.906157, 0.143936, 1.0)"
Cut Face Sandstone,47.73055,269.55872,22.7,178.3,1.7,,157,Portage Lake normal-polarity zone (sed),"Pierce et al., 2022",1092.6,1091.7,1093.5,Data come from the Grand Marais Rhyolite and the Beaver River diaabse,,,uniform,,"(0.120081, 0.622161, 0.534946, 1.0)"
